year,MM,DOI,url,Month_Num
2000,May,https://doi.org/10.5281/zenodo.7652545,https://zenodo.org/records/7652545,05
2000,Jun,https://doi.org/10.5281/zenodo.7652538,https://zenodo.org/records/7652538,06
2000,Jul,https://doi.org/10.5281/zenodo.7652528,https://zenodo.org/records/7652528,07
2000,Aug,https://doi.org/10.5281/zenodo.7652519,https://zenodo.org/records/7652519,08
2000,Sep,https://doi.org/10.5281/zenodo.7652510,https://zenodo.org/records/7652510,09
2000,Oct,https://doi.org/10.5281/zenodo.7652498,https://zenodo.org/records/7652498,10
2000,Nov,https://doi.org/10.5281/zenodo.7652486,https://zenodo.org/records/7652486,11
2000,Dec,https://doi.org/10.5281/zenodo.7652477,https://zenodo.org/records/7652477,12
2001,Jan,https://doi.org/10.5281/zenodo.7652464,https://zenodo.org/records/7652464,01
2001,Feb,https://doi.org/10.5281/zenodo.7652452,https://zenodo.org/records/7652452,02
2001,Mar,https://doi.org/10.5281/zenodo.7652438,https://zenodo.org/records/7652438,03
2001,Apr,https://doi.org/10.5281/zenodo.7652426,https://zenodo.org/records/7652426,04
2001,May,https://doi.org/10.5281/zenodo.7652424,https://zenodo.org/records/7652424,05
2001,Jun,https://doi.org/10.5281/zenodo.7652420,https://zenodo.org/records/7652420,06
2001,Jul,https://doi.org/10.5281/zenodo.7652418,https://zenodo.org/records/7652418,07
2001,Aug,https://doi.org/10.5281/zenodo.7652412,https://zenodo.org/records/7652412,08
2001,Sep,https://doi.org/10.5281/zenodo.7652402,https://zenodo.org/records/7652402,09
2001,Oct,https://doi.org/10.5281/zenodo.7652394,https://zenodo.org/records/7652394,10
2001,Nov,https://doi.org/10.5281/zenodo.7652387,https://zenodo.org/records/7652387,11
2001,Dec,https://doi.org/10.5281/zenodo.7652375,https://zenodo.org/records/7652375,12
2002,Jan,https://doi.org/10.5281/zenodo.7652363,https://zenodo.org/records/7652363,01
2002,Feb,https://doi.org/10.5281/zenodo.7652351,https://zenodo.org/records/7652351,02
2002,Mar,https://doi.org/10.5281/zenodo.7652340,https://zenodo.org/records/7652340,03
2002,Apr,https://doi.org/10.5281/zenodo.7652326,https://zenodo.org/records/7652326,04
2002,May,https://doi.org/10.5281/zenodo.7652318,https://zenodo.org/records/7652318,05
2002,Jun,https://doi.org/10.5281/zenodo.7652302,https://zenodo.org/records/7652302,06
2002,Jul,https://doi.org/10.5281/zenodo.7652292,https://zenodo.org/records/7652292,07
2002,Aug,https://doi.org/10.5281/zenodo.7652284,https://zenodo.org/records/7652284,08
2002,Sep,https://doi.org/10.5281/zenodo.7652274,https://zenodo.org/records/7652274,09
2002,Oct,https://doi.org/10.5281/zenodo.7652264,https://zenodo.org/records/7652264,10
2002,Nov,https://doi.org/10.5281/zenodo.7652254,https://zenodo.org/records/7652254,11
2002,Dec,https://doi.org/10.5281/zenodo.7652250,https://zenodo.org/records/7652250,12
2003,Jan,https://doi.org/10.5281/zenodo.7652240,https://zenodo.org/records/7652240,01
2003,Feb,https://doi.org/10.5281/zenodo.7652226,https://zenodo.org/records/7652226,02
2003,Mar,https://doi.org/10.5281/zenodo.7652213,https://zenodo.org/records/7652213,03
2003,Apr,https://doi.org/10.5281/zenodo.7652208,https://zenodo.org/records/7652208,04
2003,May,https://doi.org/10.5281/zenodo.7652202,https://zenodo.org/records/7652202,05
2003,Jun,https://doi.org/10.5281/zenodo.7652192,https://zenodo.org/records/7652192,06
2003,Jul,https://doi.org/10.5281/zenodo.7652181,https://zenodo.org/records/7652181,07
2003,Aug,https://doi.org/10.5281/zenodo.7652175,https://zenodo.org/records/7652175,08
2003,Sep,https://doi.org/10.5281/zenodo.7652167,https://zenodo.org/records/7652167,09
2003,Oct,https://doi.org/10.5281/zenodo.7651935,https://zenodo.org/records/7651935,10
2003,Nov,https://doi.org/10.5281/zenodo.7651891,https://zenodo.org/records/7651891,11
